case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C023,Wireless laptop connected to AP but cannot get IP from DHCP.,AP is in VLAN 50. DHCP server serves VLAN 50 from router.,"show ip dhcp pool: network 192.168.50.0/24 configured. show interfaces trunk: VLAN 50 missing from trunk",VLAN 50 not allowed on trunk between switch and router — DHCP Discover never reaches router,Layer 2 - Data Link,VLAN Wireless,High
C024,R1 has a static default route to the ISP but internet traffic still fails.,Static default route configured. ISP interface is up.,"show ip route: 0.0.0.0/0 via 203.0.113.1. show ip nat translations: empty. show ip interface gi0/1: no nat outside",NAT not configured — traffic leaves but has private source IP which ISP drops,Layer 3 - Network,NAT Static Route,High
C025,OSPF adjacency stuck in EXSTART state between R1 and R2.,Routers connected directly via serial link.,"show ip ospf neighbor: state is EXSTART. show interfaces se0/0: MTU 1500 on R1, MTU 1476 on R2",MTU mismatch between the two interfaces — OSPF DBD exchange fails,Layer 3 - Network,OSPF MTU,Medium
C026,STP PortFast port receiving BPDUs and going into error-disabled state.,BPDU Guard enabled on access port. Another switch accidentally connected to that port.,"show interfaces fa0/2: err-disabled. show log: BPDUGUARD-3-DISABLE triggered",BPDU Guard shut the port because a switch was connected to a PortFast access port,Layer 2 - Data Link,STP BPDU Guard,High
C027,PC can reach servers in its own VLAN but not any other VLAN. Router-on-a-stick is configured.,Trunk link between switch and router is correct. Sub-interfaces exist.,"show ip route on router: only directly connected routes. No static or dynamic routes for remote VLANs",No default route or inter-VLAN routing — router only knows directly connected networks,Layer 3 - Network,Routing,Medium
C028,After adding a new router to OSPF area 0 some routes are missing from its routing table.,New router R3 added. OSPF hello and dead timers different from other routers.,"show ip ospf neighbor: neighbor relationship in INIT state. show ip ospf interface: hello 10 dead 40 on R1 / hello 30 dead 120 on R3",OSPF hello/dead timer mismatch prevents adjacency from forming,Layer 3 - Network,OSPF Timers,Medium
C029,PAT is configured but only the first two hosts can reach internet simultaneously.,PAT configured using a pool of 2 IP addresses without overload keyword.,"show ip nat translations: 2 entries only. show running-config: ip nat inside source list 1 pool POOL (no overload)",overload keyword missing from NAT command — pool of 2 IPs exhausted instead of PAT,Layer 3 - Network,NAT PAT,High
C030,PC can ping 8.8.8.8 but cannot browse any websites. Ping to google.com fails.,NAT working. Internet connectivity confirmed via IP ping.,"show ip dhcp pool: dns-server not configured. ipconfig on PC: DNS server 0.0.0.0",No DNS server assigned to PC via DHCP — name resolution fails,Layer 7 - Application,DNS,Medium
C031,Switch port connected to PC shows up/up but PC gets no IP and cannot communicate.,Port assigned to VLAN 10. DHCP server serves VLAN 10.,"show vlan brief: VLAN 10 not in active state. show vlan id 10: VLAN not found in VLAN database",VLAN 10 was never created on the switch — port assigned to non-existent VLAN,Layer 2 - Data Link,VLAN,High
C032,After replacing a failed switch all trunk ports stay in access mode.,New switch connected. DTP negotiation expected to form trunks automatically.,"show interfaces gi0/1 switchport: mode dynamic auto on both sides",Both sides set to dynamic auto — DTP will not form trunk without one side being desirable,Layer 2 - Data Link,Trunk DTP,Medium
C033,Two branch offices cannot communicate via site-to-site VPN. Tunnel is up.,GRE tunnel is up. IPsec not configured.,"show interfaces tunnel0: up/up. ping across tunnel: works. show crypto ipsec sa: no SAs",GRE tunnel unencrypted — traffic going across internet without IPsec,Layer 3 - Network,VPN IPsec,Critical
